Age,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,current_level,availability_projects,primary_skill,secondary_skill,primary_skill_proficiency,secondary_skill_proficiency
36,Travel_Rarely,Sales,4,Life Sciences,27,3,Male,2,1,Sales Representative,1,3407,7,No,4,2,80,10,4,3,5,3,2,3,Client Acquisition,Negotiation,7,6
34,Travel_Rarely,Research & Development,4,Life Sciences,28,1,Female,3,3,Research Director,2,11994,0,No,3,3,80,13,4,3,12,6,2,3,Research Leadership,Strategic Planning,7,6
21,Travel_Rarely,Research & Development,2,Life Sciences,30,3,Male,3,1,Research Scientist,4,1232,1,No,3,4,80,0,6,3,0,0,0,2,Data Analysis,Python,2,1
34,Travel_Rarely,Research & Development,1,Medical,31,2,Male,3,1,Research Scientist,1,2960,2,No,3,3,80,8,2,3,4,2,1,3,Data Analysis,Python,4,3
53,Travel_Rarely,Research & Development,3,Other,32,3,Female,3,5,Manager,3,19094,4,No,3,4,80,26,3,2,14,13,2,1,People Management,Project Planning,7,6
32,Travel_Frequently,Research & Development,1,Life Sciences,33,2,Female,1,1,Research Scientist,1,3919,1,Yes,4,2,80,10,5,3,10,2,2,3,Data Analysis,Python,7,6
42,Travel_Rarely,Sales,4,Marketing,35,3,Male,3,2,Sales Executive,2,6825,0,No,3,4,80,10,2,3,9,7,1,4,Sales Strategy,CRM Tools,6,5
44,Travel_Rarely,Research & Development,4,Medical,36,1,Female,2,3,Healthcare Representative,4,10248,3,No,3,4,80,24,4,3,22,6,2,3,Medical Sales,Product Knowledge,7,6
46,Travel_Rarely,Sales,4,Marketing,38,2,Female,3,5,Manager,1,18947,3,No,3,4,80,22,2,2,2,2,2,1,People Management,Project Planning,6,5
33,Travel_Rarely,Research & Development,3,Medical,39,3,Male,3,1,Laboratory Technician,4,2496,4,No,3,4,80,7,3,3,1,1,1,2,Laboratory Operations,Quality Control,4,3
44,Travel_Rarely,Research & Development,4,Other,40,4,Male,3,2,Healthcare Representative,4,6465,2,Yes,3,4,80,9,5,4,4,2,1,2,Medical Sales,Product Knowledge,4,3
30,Travel_Rarely,Research & Development,2,Medical,41,4,Male,2,1,Laboratory Technician,3,2206,1,No,3,1,80,10,5,3,10,0,2,2,Laboratory Operations,Quality Control,6,5
39,Travel_Rarely,Sales,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,2086,3,No,3,3,80,19,6,4,1,0,1,3,Client Acquisition,Negotiation,5,4
24,Travel_Rarely,Research & Development,3,Medical,45,2,Male,3,1,Research Scientist,4,2293,2,Yes,3,1,80,6,2,2,2,0,1,2,Data Analysis,Python,4,3
43,Travel_Rarely,Research & Development,2,Medical,46,4,Female,4,1,Research Scientist,3,2645,1,No,3,4,80,6,3,2,5,3,1,3,Data Analysis,Python,4,3
50,Travel_Rarely,Sales,2,Marketing,47,1,Male,2,1,Sales Representative,3,2683,1,Yes,3,3,80,3,2,3,3,2,0,1,Client Acquisition,Negotiation,2,1
35,Travel_Rarely,Sales,3,Marketing,49,4,Female,3,1,Sales Representative,4,2014,1,No,3,1,80,2,3,3,2,2,0,1,Client Acquisition,Negotiation,2,1
36,Travel_Rarely,Research & Development,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,3419,9,Yes,3,4,80,6,3,4,1,1,1,2,Data Analysis,Python,4,3
33,Travel_Frequently,Sales,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,5376,2,No,3,1,80,10,3,3,5,3,1,3,Sales Strategy,CRM Tools,5,4
35,Travel_Rarely,Research & Development,2,Other,53,3,Male,3,1,Laboratory Technician,4,1951,1,No,3,3,80,1,3,3,1,0,0,1,Laboratory Operations,Quality Control,2,1
27,Travel_Rarely,Research & Development,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,2341,1,No,3,4,80,1,6,3,1,0,0,1,Laboratory Operations,Quality Control,2,1
26,Travel_Rarely,Research & Development,3,Life Sciences,55,1,Male,1,1,Laboratory Technician,3,2293,1,No,3,3,80,1,2,2,1,0,0,1,Laboratory Operations,Quality Control,2,1
27,Travel_Frequently,Sales,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,8726,1,No,3,4,80,9,0,3,9,8,1,4,Sales Strategy,CRM Tools,5,4
30,Travel_Frequently,Research & Development,2,Medical,57,3,Female,3,2,Laboratory Technician,4,4011,1,No,4,4,80,12,2,3,12,8,1,4,Laboratory Operations,Quality Control,7,6
41,Travel_Rarely,Research & Development,3,Technical Degree,58,2,Female,3,5,Research Director,3,19545,1,No,3,4,80,23,0,3,22,15,2,2,Research Leadership,Strategic Planning,7,6
34,Non-Travel,Sales,4,Marketing,60,2,Male,3,2,Sales Executive,3,4568,0,No,4,3,80,10,2,3,9,5,1,4,Sales Strategy,CRM Tools,7,6
37,Travel_Rarely,Research & Development,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,3022,4,No,4,1,80,8,1,3,1,0,1,4,Data Analysis,Python,5,4
46,Travel_Frequently,Sales,4,Marketing,62,1,Male,3,2,Sales Executive,4,5772,4,Yes,4,3,80,14,4,3,9,6,1,4,Sales Strategy,CRM Tools,7,6
35,Travel_Rarely,Research & Development,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,2269,1,No,3,4,80,1,2,3,1,0,0,1,Laboratory Operations,Quality Control,2,1
48,Travel_Rarely,Research & Development,2,Life Sciences,64,1,Male,2,3,Laboratory Technician,3,5381,9,Yes,3,4,80,23,2,3,1,0,2,1,Laboratory Operations,Quality Control,6,5
28,Travel_Rarely,Research & Development,4,Technical Degree,65,3,Male,3,1,Laboratory Technician,3,3441,1,Yes,3,3,80,2,3,2,2,2,0,1,Laboratory Operations,Quality Control,2,1
44,Travel_Rarely,Sales,5,Marketing,68,2,Female,3,2,Sales Executive,1,5454,5,Yes,4,3,80,9,2,2,4,3,1,3,Sales Strategy,CRM Tools,5,4
35,Non-Travel,Research & Development,2,Medical,70,3,Male,2,3,Healthcare Representative,1,9884,2,Yes,3,3,80,10,3,3,4,0,2,1,Medical Sales,Product Knowledge,6,5
26,Travel_Rarely,Sales,3,Marketing,72,3,Female,2,2,Sales Executive,4,4157,7,Yes,3,3,80,5,2,2,2,2,1,1,Sales Strategy,CRM Tools,4,3
33,Travel_Frequently,Research & Development,2,Life Sciences,73,1,Female,3,3,Research Director,4,13458,1,Yes,3,3,80,15,1,3,15,14,2,2,Research Leadership,Strategic Planning,7,6
35,Travel_Frequently,Sales,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,9069,1,No,4,4,80,9,3,2,9,8,1,4,Sales Strategy,CRM Tools,6,5
35,Travel_Rarely,Research & Development,4,Medical,75,3,Female,3,1,Laboratory Technician,1,4014,3,Yes,3,3,80,4,3,3,2,2,1,1,Laboratory Operations,Quality Control,3,2
31,Travel_Rarely,Research & Development,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,5915,3,No,4,4,80,10,3,2,7,7,1,4,Laboratory Operations,Quality Control,7,6
37,Travel_Rarely,Research & Development,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,5993,1,No,3,3,80,7,2,4,7,5,1,2,Operations Management,Process Optimization,5,4
32,Travel_Rarely,Research & Development,3,Medical,78,1,Male,3,2,Manufacturing Director,4,6162,1,Yes,4,2,80,9,3,3,9,8,1,3,Operations Management,Process Optimization,6,5
38,Travel_Frequently,Research & Development,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,2406,1,No,3,4,80,10,2,3,10,3,1,3,Laboratory Operations,Quality Control,5,4
50,Travel_Rarely,Research & Development,2,Medical,80,2,Female,2,5,Research Director,3,18740,5,Yes,3,4,80,29,2,2,27,3,2,1,Research Leadership,Strategic Planning,6,5
59,Travel_Rarely,Sales,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,7637,7,No,3,4,80,28,3,2,21,16,2,3,Sales Strategy,CRM Tools,7,6
36,Travel_Rarely,Research & Development,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,10096,1,No,3,2,80,17,2,3,17,14,2,3,Medical Sales,Product Knowledge,7,6
55,Travel_Rarely,Research & Development,3,Medical,84,4,Female,3,4,Manager,3,14756,2,Yes,3,3,80,21,2,3,5,0,2,1,People Management,Project Planning,6,5
36,Travel_Frequently,Research & Development,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,6499,1,No,3,3,80,6,3,3,6,5,1,2,Operations Management,Process Optimization,5,4
45,Travel_Rarely,Research & Development,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,9724,2,No,3,3,80,25,2,3,1,0,2,3,Data Analysis,Python,6,5
35,Travel_Frequently,Research & Development,3,Medical,88,2,Male,3,1,Research Scientist,1,2194,4,No,3,4,80,5,2,2,3,2,1,3,Data Analysis,Python,4,3
36,Travel_Rarely,Research & Development,3,Medical,90,4,Male,2,1,Research Scientist,3,3388,0,Yes,3,1,80,2,0,2,1,0,0,1,Data Analysis,Python,2,1
59,Travel_Frequently,Sales,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,5473,7,No,3,4,80,20,2,2,4,3,1,3,Sales Strategy,CRM Tools,5,4
29,Travel_Rarely,Research & Development,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,2703,0,No,4,4,80,6,3,3,5,4,1,4,Data Analysis,Python,5,4
31,Travel_Rarely,Research & Development,4,Medical,95,3,Male,3,1,Research Scientist,2,2501,1,No,3,2,80,1,4,3,1,1,0,2,Data Analysis,Python,2,1
32,Travel_Rarely,Research & Development,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,6220,1,No,3,2,80,10,3,3,10,4,1,4,Data Analysis,Python,5,4
36,Travel_Rarely,Research & Development,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,3038,3,No,3,2,80,5,3,3,1,0,1,2,Laboratory Operations,Quality Control,4,3
31,Travel_Rarely,Research & Development,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,4424,1,No,4,4,80,11,2,3,11,7,1,4,Operations Management,Process Optimization,7,6
35,Travel_Rarely,Sales,4,Marketing,100,3,Male,2,2,Sales Executive,1,4312,0,No,3,2,80,16,2,3,15,13,1,4,Sales Strategy,CRM Tools,6,5
45,Travel_Rarely,Research & Development,4,Other,101,4,Male,3,3,Research Director,1,13245,4,Yes,3,2,80,17,3,4,0,0,2,1,Research Leadership,Strategic Planning,6,5
37,Travel_Rarely,Research & Development,4,Medical,102,1,Male,3,3,Research Director,3,13664,4,No,3,1,80,16,3,4,5,2,2,2,Research Leadership,Strategic Planning,6,5
46,Travel_Rarely,Human Resources,2,Medical,103,2,Male,3,2,Human Resources,2,5021,8,Yes,4,4,80,16,2,3,4,2,1,3,Talent Management,Employee Engagement,6,5
30,Travel_Rarely,Research & Development,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,5126,1,Yes,3,3,80,10,1,2,10,8,1,3,Laboratory Operations,Quality Control,6,5
35,Travel_Rarely,Research & Development,3,Medical,105,2,Male,2,1,Research Scientist,3,2859,1,No,3,1,80,6,3,3,6,4,1,3,Data Analysis,Python,4,3
55,Travel_Rarely,Sales,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,10239,3,No,3,4,80,24,4,3,1,0,2,2,Sales Strategy,CRM Tools,6,5
38,Non-Travel,Research & Development,3,Medical,107,2,Female,1,2,Research Scientist,4,5329,7,Yes,3,4,80,17,3,3,13,11,1,4,Data Analysis,Python,6,5
34,Travel_Rarely,Research & Development,2,Medical,110,1,Male,3,2,Manufacturing Director,2,4325,1,No,3,3,80,5,2,3,5,2,1,1,Operations Management,Process Optimization,4,3
56,Travel_Rarely,Research & Development,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,7260,4,No,3,1,80,37,3,2,6,4,2,1,Operations Management,Process Optimization,6,5
23,Travel_Rarely,Sales,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,2322,3,No,3,3,80,3,3,3,0,0,0,1,Client Acquisition,Negotiation,2,1
51,Travel_Rarely,Research & Development,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,2075,3,No,4,2,80,10,4,3,4,2,2,3,Laboratory Operations,Quality Control,7,6
30,Travel_Rarely,Research & Development,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,4152,1,No,3,1,80,11,3,3,11,10,1,4,Medical Sales,Product Knowledge,6,5
46,Travel_Rarely,Sales,2,Medical,118,3,Male,2,3,Sales Executive,4,9619,1,No,3,4,80,9,3,3,9,8,1,4,Sales Strategy,CRM Tools,5,4
40,Travel_Frequently,Research & Development,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,13503,1,No,4,4,80,22,3,2,22,3,2,2,Medical Sales,Product Knowledge,7,6
51,Travel_Rarely,Sales,4,Marketing,120,3,Male,3,2,Sales Executive,4,5441,0,Yes,4,4,80,11,2,1,10,7,1,4,Sales Strategy,CRM Tools,7,6
30,Travel_Rarely,Sales,2,Medical,121,3,Female,2,2,Sales Executive,2,5209,1,Yes,3,2,80,11,4,2,11,8,1,3,Sales Strategy,CRM Tools,6,5
46,Travel_Frequently,Research & Development,3,Medical,124,3,Male,2,3,Healthcare Representative,1,10673,2,Yes,3,3,80,21,5,2,10,9,2,2,Medical Sales,Product Knowledge,7,6
32,Travel_Rarely,Sales,4,Medical,125,2,Male,3,2,Sales Executive,3,5010,1,No,3,1,80,12,0,3,11,8,1,4,Sales Strategy,CRM Tools,6,5
54,Travel_Rarely,Research & Development,4,Technical Degree,126,1,Female,3,3,Research Director,3,13549,9,No,3,1,80,16,5,1,4,3,2,2,Research Leadership,Strategic Planning,6,5
24,Travel_Rarely,Sales,2,Other,128,1,Female,3,2,Sales Executive,3,4999,0,No,4,1,80,4,2,2,3,2,1,3,Sales Strategy,CRM Tools,4,3
28,Non-Travel,Sales,3,Medical,129,2,Male,3,2,Sales Executive,3,4221,1,No,3,2,80,5,3,4,5,4,1,2,Sales Strategy,CRM Tools,4,3
58,Travel_Rarely,Sales,4,Medical,131,4,Male,3,4,Sales Executive,3,13872,0,No,3,3,80,38,1,2,37,10,2,2,Sales Strategy,CRM Tools,7,6
44,Non-Travel,Research & Development,3,Medical,132,2,Male,3,2,Laboratory Technician,2,2042,4,No,3,3,80,17,3,4,3,2,1,3,Laboratory Operations,Quality Control,5,4
37,Travel_Rarely,Human Resources,4,Human Resources,133,3,Male,3,1,Human Resources,1,2073,4,Yes,4,4,80,7,3,3,3,2,1,2,Talent Management,Employee Engagement,5,4
32,Travel_Rarely,Research & Development,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,2956,1,No,3,4,80,1,2,3,1,0,0,2,Data Analysis,Python,2,1
20,Travel_Frequently,Research & Development,3,Life Sciences,137,4,Female,2,1,Laboratory Technician,4,2926,1,Yes,3,2,80,1,5,3,1,0,0,1,Laboratory Operations,Quality Control,2,1
34,Travel_Rarely,Research & Development,4,Other,138,1,Female,3,2,Research Scientist,3,4809,1,No,3,3,80,16,3,3,16,13,1,4,Data Analysis,Python,6,5
37,Non-Travel,Research & Development,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,5163,5,No,3,4,80,17,2,4,1,0,1,3,Medical Sales,Product Knowledge,5,4
59,Non-Travel,Human Resources,4,Human Resources,140,3,Female,2,5,Manager,4,18844,9,No,4,4,80,30,3,3,3,2,2,1,People Management,Project Planning,7,6
50,Travel_Frequently,Research & Development,3,Life Sciences,141,1,Female,3,5,Research Director,2,18172,3,Yes,3,1,80,28,1,2,8,3,2,1,Research Leadership,Strategic Planning,6,5
25,Travel_Rarely,Sales,3,Marketing,142,3,Male,2,2,Sales Executive,3,5744,1,Yes,3,4,80,6,1,3,6,4,1,1,Sales Strategy,CRM Tools,4,3
25,Travel_Rarely,Research & Development,1,Medical,143,4,Male,2,1,Research Scientist,4,2889,1,No,3,3,80,2,2,3,2,2,0,2,Data Analysis,Python,2,1
22,Travel_Rarely,Research & Development,3,Medical,144,2,Female,3,1,Laboratory Technician,4,2871,1,No,3,3,80,1,5,3,0,0,0,1,Laboratory Operations,Quality Control,2,1
51,Travel_Frequently,Research & Development,4,Medical,145,1,Female,2,3,Healthcare Representative,1,7484,3,No,4,3,80,23,1,2,13,12,2,4,Medical Sales,Product Knowledge,8,7
34,Travel_Frequently,Research & Development,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,6074,1,Yes,4,4,80,9,3,3,9,7,1,4,Laboratory Operations,Quality Control,6,5
54,Non-Travel,Human Resources,3,Human Resources,148,4,Female,4,4,Manager,4,17328,2,Yes,3,3,80,23,3,3,5,3,2,1,People Management,Project Planning,6,5
24,Travel_Rarely,Research & Development,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,2774,0,No,3,3,80,6,2,3,5,3,1,2,Laboratory Operations,Quality Control,4,3
34,Travel_Rarely,Research & Development,4,Life Sciences,151,3,Female,2,2,Research Scientist,2,4505,6,No,3,3,80,12,3,3,1,0,1,4,Data Analysis,Python,5,4
37,Travel_Rarely,Sales,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,7428,2,No,3,1,80,12,3,3,5,3,2,2,Sales Strategy,CRM Tools,6,5
34,Travel_Rarely,Research & Development,3,Medical,153,3,Female,2,3,Manager,1,11631,2,No,3,4,80,14,6,3,11,10,2,2,People Management,Project Planning,7,6
36,Travel_Frequently,Sales,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,9738,0,No,3,3,80,10,6,3,9,7,2,3,Sales Strategy,CRM Tools,7,6
36,Travel_Rarely,Research & Development,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,2835,5,No,4,1,80,7,2,3,1,0,1,3,Laboratory Operations,Quality Control,5,4
43,Travel_Frequently,Sales,2,Life Sciences,158,3,Male,3,4,Manager,4,16959,1,Yes,3,4,80,25,3,4,25,12,2,1,People Management,Project Planning,7,6
30,Travel_Frequently,Research & Development,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,2613,1,No,4,3,80,10,2,2,10,7,2,4,Data Analysis,Python,8,7
33,Non-Travel,Sales,2,Marketing,160,3,Male,3,2,Sales Executive,2,6146,0,No,3,1,80,8,2,4,7,7,1,3,Sales Strategy,CRM Tools,5,4
56,Travel_Rarely,Research & Development,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,4963,9,Yes,3,1,80,7,2,3,5,4,1,2,Data Analysis,Python,4,3
51,Travel_Rarely,Research & Development,3,Life Sciences,162,1,Male,3,5,Research Director,3,19537,7,No,3,3,80,23,5,3,20,18,2,2,Research Leadership,Strategic Planning,7,6
31,Travel_Rarely,Sales,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,6172,4,Yes,3,2,80,12,3,2,7,7,1,3,Sales Strategy,CRM Tools,6,5
26,Travel_Rarely,Research & Development,3,Other,164,3,Female,2,1,Research Scientist,2,2368,1,No,3,3,80,5,3,2,5,4,1,3,Data Analysis,Python,4,3
58,Travel_Rarely,Research & Development,4,Medical,165,4,Female,3,3,Healthcare Representative,4,10312,1,No,3,4,80,40,3,2,40,10,2,3,Medical Sales,Product Knowledge,7,6
19,Travel_Rarely,Sales,1,Marketing,167,4,Male,3,1,Sales Representative,3,1675,1,Yes,3,4,80,0,2,2,0,0,0,1,Client Acquisition,Negotiation,2,1
22,Travel_Rarely,Research & Development,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,2523,0,No,3,3,80,3,2,3,2,1,0,1,Laboratory Operations,Quality Control,2,1
49,Travel_Rarely,Research & Development,4,Medical,170,3,Female,3,2,Manufacturing Director,1,6567,1,No,3,3,80,16,2,2,15,11,1,3,Operations Management,Process Optimization,6,5
43,Travel_Frequently,Research & Development,3,Medical,171,2,Female,4,1,Research Scientist,3,4739,4,No,3,4,80,18,2,3,3,2,2,3,Data Analysis,Python,6,5
50,Travel_Frequently,Sales,3,Marketing,174,3,Female,3,3,Sales Executive,4,9208,4,No,3,4,80,16,3,3,2,2,2,2,Sales Strategy,CRM Tools,6,5
31,Travel_Rarely,Sales,3,Life Sciences,175,2,Female,1,2,Sales Executive,3,4559,3,Yes,3,3,80,4,2,3,2,2,1,1,Sales Strategy,CRM Tools,3,2
41,Travel_Rarely,Sales,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,8189,3,Yes,3,3,80,12,2,3,9,7,2,2,Sales Strategy,CRM Tools,7,6
26,Travel_Rarely,Human Resources,1,Life Sciences,177,3,Female,3,1,Human Resources,3,2942,1,No,4,4,80,8,3,3,8,7,1,4,Talent Management,Employee Engagement,6,5
36,Travel_Rarely,Research & Development,2,Medical,178,2,Male,3,2,Manufacturing Director,2,4941,6,No,4,4,80,7,0,3,3,2,1,2,Operations Management,Process Optimization,5,4
51,Travel_Frequently,Research & Development,4,Life Sciences,179,1,Male,1,3,Manufacturing Director,4,10650,2,No,3,4,80,18,2,3,4,2,2,1,Operations Management,Process Optimization,6,5
39,Travel_Rarely,Sales,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,5902,4,No,3,3,80,17,1,4,15,11,1,4,Sales Strategy,CRM Tools,6,5
25,Travel_Rarely,Sales,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,8639,2,No,3,4,80,6,3,3,2,2,1,2,Sales Strategy,CRM Tools,4,3
30,Travel_Rarely,Human Resources,3,Human Resources,184,3,Male,3,2,Human Resources,4,6347,0,Yes,3,4,80,12,2,1,11,9,1,3,Talent Management,Employee Engagement,6,5
32,Travel_Rarely,Research & Development,3,Medical,190,1,Female,3,1,Laboratory Technician,1,4200,7,No,4,1,80,10,2,4,5,4,2,3,Laboratory Operations,Quality Control,7,6
45,Travel_Rarely,Research & Development,3,Medical,192,3,Male,3,1,Research Scientist,4,3452,5,No,3,2,80,9,2,2,6,5,1,4,Data Analysis,Python,5,4
38,Travel_Rarely,Research & Development,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,4317,3,Yes,4,2,80,19,2,3,3,2,1,4,Data Analysis,Python,6,5
30,Travel_Rarely,Research & Development,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,2632,1,No,3,3,80,5,4,2,5,4,1,3,Data Analysis,Python,4,3
32,Travel_Frequently,Sales,2,Medical,195,4,Male,1,2,Sales Executive,4,4668,0,No,3,4,80,9,2,4,8,7,1,4,Sales Strategy,CRM Tools,5,4
30,Travel_Rarely,Research & Development,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,3204,5,No,3,4,80,8,3,3,3,2,1,3,Data Analysis,Python,4,3
30,Travel_Rarely,Research & Development,1,Medical,198,2,Male,2,1,Laboratory Technician,4,2720,0,No,3,4,80,6,3,3,5,3,1,2,Laboratory Operations,Quality Control,4,3
41,Travel_Frequently,Research & Development,3,Life Sciences,199,4,Male,2,4,Manager,1,17181,4,No,3,2,80,21,2,2,7,6,2,1,People Management,Project Planning,7,6
41,Travel_Rarely,Research & Development,4,Life Sciences,200,3,Male,3,1,Laboratory Technician,1,2238,2,No,4,4,80,7,2,3,5,0,1,3,Laboratory Operations,Quality Control,5,4
19,Travel_Rarely,Research & Development,1,Medical,201,2,Female,3,1,Laboratory Technician,2,1483,1,No,3,4,80,1,3,3,1,0,0,1,Laboratory Operations,Quality Control,2,1
40,Travel_Frequently,Research & Development,3,Medical,202,2,Female,3,2,Research Scientist,2,5605,1,No,3,1,80,20,2,3,20,7,1,4,Data Analysis,Python,6,5
